INDEX,LINK,LINK_RTF
 T-1056-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1056-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1056-07.rtf 
 T-1055-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1055-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1055-07.rtf 
 T-1054-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1054-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1054-07.rtf 
 T-1053-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1053-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1053-07.rtf 
 T-1052-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1052-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1052-07.rtf 
 T-1051-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1051-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1051-07.rtf 
 T-1050-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1050-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1050-07.rtf 
 T-1049-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1049-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1049-07.rtf 
 T-1048-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1048-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1048-07.rtf 
 T-1047-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1047-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1047-07.rtf 
 T-1046-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1046-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1046-07.rtf 
 T-1045-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1045-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1045-07.rtf 
 T-1044-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1044-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1044-07.rtf 
 T-1043-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1043-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1043-07.rtf 
 T-1039-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1039-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1039-07.rtf 
 T-1038-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1038-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1038-07.rtf 
 T-1037-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1037-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1037-07.rtf 
 T-1036-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1036-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1036-07.rtf 
 T-1035-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1035-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1035-07.rtf 
 T-1034-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1034-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1034-07.rtf 
 T-1033-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1033-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1033-07.rtf 
 T-1032-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1032-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1032-07.rtf 
 T-1031-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1031-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1031-07.rtf 
 T-1030-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1030-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1030-07.rtf 
 T-1029-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1029-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1029-07.rtf 
 T-1028-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1028-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1028-07.rtf 
 T-1027-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1027-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1027-07.rtf 
 T-1026-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1026-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1026-07.rtf 
 T-1025-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1025-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1025-07.rtf 
 T-1024-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1024-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1024-07.rtf 
 T-1023-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1023-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1023-07.rtf 
 T-1022-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1022-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1022-07.rtf 
 T-1021-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1021-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1021-07.rtf 
 T-1020-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1020-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1020-07.rtf 
 T-1019-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1019-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1019-07.rtf 
 T-1018-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1018-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1018-07.rtf 
 T-1017-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1017-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1017-07.rtf 
 T-1016-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1016-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1016-07.rtf 
 T-1015-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1015-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1015-07.rtf 
 T-1014-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1014-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1014-07.rtf 
 T-1013-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1013-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1013-07.rtf 
 T-1012-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1012-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1012-07.rtf 
 T-1011-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1011-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1011-07.rtf 
 T-1010-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1010-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1010-07.rtf 
 T-1009-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1009-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1009-07.rtf 
 T-1008-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1008-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1008-07.rtf 
 T-1007-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-1007-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-1007-07.rtf 
 T-999-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-999-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-999-07.rtf 
 T-998-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-998-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-998-07.rtf 
 T-997-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-997-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-997-07.rtf 
 T-996-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-996-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-996-07.rtf 
 T-995-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-995-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-995-07.rtf 
 T-994-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-994-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-994-07.rtf 
 T-993-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-993-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-993-07.rtf 
 T-992-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-992-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-992-07.rtf 
 T-991-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-991-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-991-07.rtf 
 T-990-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-990-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-990-07.rtf 
 T-989-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-989-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-989-07.rtf 
 T-988-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-988-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-988-07.rtf 
 T-987-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-987-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-987-07.rtf 
 T-984-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-984-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-984-07.rtf 
 T-983-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-983-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-983-07.rtf 
 T-982-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-982-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-982-07.rtf 
 T-981-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-981-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-981-07.rtf 
 T-980-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-980-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-980-07.rtf 
 T-979-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-979-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-979-07.rtf 
 T-978-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-978-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-978-07.rtf 
 T-977-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-977-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-977-07.rtf 
 T-976-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-976-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-976-07.rtf 
 T-975-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-975-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-975-07.rtf 
 T-974-07,https://www.corteconstitucional.gov.co/Relatoria/2007/T-974-07.htm,https://www.corteconstitucional.gov.co/sentencias/2007/T-974-07.rtf 
