INDEX,LINK,LINK_RTF
 T-683-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-683-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-683-03.rtf 
 T-682-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-682-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-682-03.rtf 
 T-680-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-680-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-680-03.rtf 
 T-679-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-679-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-679-03.rtf 
 T-678-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-678-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-678-03.rtf 
 T-677-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-677-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-677-03.rtf 
 T-676-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-676-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-676-03.rtf 
 T-675-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-675-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-675-03.rtf 
 T-674-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-674-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-674-03.rtf 
 T-673-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-673-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-673-03.rtf 
 T-672-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-672-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-672-03.rtf 
 T-671-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-671-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-671-03.rtf 
 T-670-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-670-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-670-03.rtf 
 T-669-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-669-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-669-03.rtf 
 T-668-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-668-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-668-03.rtf 
 T-667-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-667-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-667-03.rtf 
 T-666-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-666-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-666-03.rtf 
 T-665-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-665-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-665-03.rtf 
 T-664-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-664-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-664-03.rtf 
 T-663-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-663-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-663-03.rtf 
 T-662-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-662-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-662-03.rtf 
 T-661-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-661-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-661-03.rtf 
 T-660-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-660-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-660-03.rtf 
 T-659-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-659-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-659-03.rtf 
 T-647-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-647-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-647-03.rtf 
 T-646-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-646-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-646-03.rtf 
 T-645-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-645-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-645-03.rtf 
 T-644-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-644-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-644-03.rtf 
 T-643-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-643-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-643-03.rtf 
 T-642-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-642-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-642-03.rtf 
 T-641-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-641-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-641-03.rtf 
 T-640-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-640-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-640-03.rtf 
 T-639-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-639-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-639-03.rtf 
 T-638-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-638-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-638-03.rtf 
 T-637-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-637-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-637-03.rtf 
 T-635-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-635-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-635-03.rtf 
 T-634-03,https://www.corteconstitucional.gov.co/Relatoria/2003/T-634-03.htm,https://www.corteconstitucional.gov.co/sentencias/2003/T-634-03.rtf 
