INDEX,LINK,LINK_RTF
 T-675-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-675-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-675-12.rtf 
 T-674-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-674-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-674-12.rtf 
 T-673-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-673-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-673-12.rtf 
 T-672-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-672-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-672-12.rtf 
 T-671-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-671-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-671-12.rtf 
 T-670-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-670-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-670-12.rtf 
 T-669-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-669-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-669-12.rtf 
 T-668-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-668-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-668-12.rtf 
 T-667-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-667-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-667-12.rtf 
 T-666-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-666-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-666-12.rtf 
 T-665-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-665-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-665-12.rtf 
 T-664-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-664-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-664-12.rtf 
 T-663-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-663-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-663-12.rtf 
 T-662-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-662-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-662-12.rtf 
 T-661-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-661-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-661-12.rtf 
 T-660-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-660-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-660-12.rtf 
 T-659-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-659-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-659-12.rtf 
 T-658-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-658-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-658-12.rtf 
 T-657-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-657-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-657-12.rtf 
 T-656-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-656-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-656-12.rtf 
 T-655-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-655-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-655-12.rtf 
 T-654-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-654-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-654-12.rtf 
 T-653-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-653-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-653-12.rtf 
 T-652-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-652-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-652-12.rtf 
 T-651-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-651-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-651-12.rtf 
 T-650-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-650-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-650-12.rtf 
 T-649-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-649-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-649-12.rtf 
 T-648-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-648-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-648-12.rtf 
 T-647-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-647-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-647-12.rtf 
 T-646-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-646-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-646-12.rtf 
 T-639-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-639-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-639-12.rtf 
 T-638-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-638-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-638-12.rtf 
 T-637-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-637-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-637-12.rtf 
 T-629-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-629-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-629-12.rtf 
 T-628-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-628-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-628-12.rtf 
 T-627-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-627-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-627-12.rtf 
 T-626-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-626-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-626-12.rtf 
 T-625-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-625-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-625-12.rtf 
 T-624-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-624-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-624-12.rtf 
 T-623-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-623-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-623-12.rtf 
 T-622-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-622-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-622-12.rtf 
 T-616-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-616-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-616-12.rtf 
 T-615-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-615-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-615-12.rtf 
 T-614-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-614-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-614-12.rtf 
 T-613-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-613-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-613-12.rtf 
 T-612-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-612-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-612-12.rtf 
 T-603-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-603-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-603-12.rtf 
 T-602-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-602-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-602-12.rtf 
 T-601-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-601-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-601-12.rtf 
 T-600-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-600-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-600-12.rtf 
 T-599-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-599-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-599-12.rtf 
 T-598-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-598-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-598-12.rtf 
