INDEX,LINK,LINK_RTF
 A123-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A123-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A123-21.rtf 
 A121-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A121-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A121-21.rtf 
 A115-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A115-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A115-21.rtf 
 A107-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A107-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A107-21.rtf 
 A106-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A106-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A106-21.rtf 
 A101-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A101-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A101-21.rtf 
 A099-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A099-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A099-21.rtf 
 A093-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A093-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A093-21.rtf 
 A092-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A092-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A092-21.rtf 
 A091-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A091-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A091-21.rtf 
 A090-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A090-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A090-21.rtf 
 A085-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A085-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A085-21.rtf 
 A084-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A084-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A084-21.rtf 
 A080-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A080-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A080-21.rtf 
 A075-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A075-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A075-21.rtf 
 A074-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A074-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A074-21.rtf 
 A072-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A072-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A072-21.rtf 
 A071-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A071-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A071-21.rtf 
 A067-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A067-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A067-21.rtf 
 A065-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A065-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A065-21.rtf 
 A064-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A064-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A064-21.rtf 
 A062-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A062-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A062-21.rtf 
 A061-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A061-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A061-21.rtf 
 A060-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A060-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A060-21.rtf 
 A059-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A059-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A059-21.rtf 
