INDEX,LINK,LINK_RTF
 T-841-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-841-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-841-99.rtf 
 T-840-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-840-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-840-99.rtf 
 T-839-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-839-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-839-99.rtf 
 T-838-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-838-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-838-99.rtf 
 T-837-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-837-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-837-99.rtf 
 T-836-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-836-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-836-99.rtf 
 T-835-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-835-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-835-99.rtf 
 T-834-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-834-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-834-99.rtf 
 T-833-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-833-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-833-99.rtf 
 T-832-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-832-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-832-99.rtf 
 T-831-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-831-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-831-99.rtf 
 T-830-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-830-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-830-99.rtf 
 T-829-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-829-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-829-99.rtf 
 T-828-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-828-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-828-99.rtf 
 T-827-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-827-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-827-99.rtf 
 T-826-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-826-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-826-99.rtf 
 T-824-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-824-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-824-99.rtf 
 T-823-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-823-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-823-99.rtf 
 T-822-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-822-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-822-99.rtf 
 T-821-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-821-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-821-99.rtf 
 T-820-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-820-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-820-99.rtf 
 T-814-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-814-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-814-99.rtf 
 T-813-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-813-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-813-99.rtf 
 T-812-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-812-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-812-99.rtf 
 T-811-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-811-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-811-99.rtf 
 T-810-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-810-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-810-99.rtf 
 T-809-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-809-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-809-99.rtf 
 T-808-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-808-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-808-99.rtf 
 T-807-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-807-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-807-99.rtf 
 T-806-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-806-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-806-99.rtf 
 T-805-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-805-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-805-99.rtf 
 T-804-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-804-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-804-99.rtf 
 T-803-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-803-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-803-99.rtf 
 T-802-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-802-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-802-99.rtf 
 T-801-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-801-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-801-99.rtf 
 T-800-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-800-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-800-99.rtf 
 T-799-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-799-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-799-99.rtf 
 T-798-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-798-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-798-99.rtf 
 T-797-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-797-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-797-99.rtf 
 T-796-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-796-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-796-99.rtf 
 T-795-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-795-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-795-99.rtf 
 T-794-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-794-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-794-99.rtf 
 T-793-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-793-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-793-99.rtf 
 T-792-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-792-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-792-99.rtf 
 T-791-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-791-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-791-99.rtf 
 T-790-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-790-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-790-99.rtf 
 T-789-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-789-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-789-99.rtf 
 T-788-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-788-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-788-99.rtf 
 T-787-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-787-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-787-99.rtf 
 T-780-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-780-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-780-99.rtf 
 T-759-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-759-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-759-99.rtf 
 T-758-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-758-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-758-99.rtf 
 T-757-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-757-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-757-99.rtf 
 T-756-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-756-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-756-99.rtf 
 T-755-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-755-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-755-99.rtf 
 T-754-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-754-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-754-99.rtf 
 T-753-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-753-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-753-99.rtf 
 T-752-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-752-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-752-99.rtf 
 T-751A-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-751A-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-751A-99.rtf 
 T-751-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-751-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-751-99.rtf 
 T-750-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-750-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-750-99.rtf 
 T-750-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-750-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-750-99.rtf 
 T-749-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-749-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-749-99.rtf 
 T-739-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-739-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-739-99.rtf 
 T-738-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-738-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-738-99.rtf 
