INDEX,LINK,LINK_RTF
 A123-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A123-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A123-21.rtf 
 A121-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A121-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A121-21.rtf 
 A115-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A115-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A115-21.rtf 
 A107-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A107-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A107-21.rtf 
 A106-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A106-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A106-21.rtf 
 A101-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A101-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A101-21.rtf 
 A099-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A099-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A099-21.rtf 
 A093-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A093-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A093-21.rtf 
 A092-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A092-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A092-21.rtf 
 A091-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A091-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A091-21.rtf 
 A090-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A090-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A090-21.rtf 
 A085-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A085-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A085-21.rtf 
 A084-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A084-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A084-21.rtf 
 A080-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A080-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A080-21.rtf 
 A075-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A075-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A075-21.rtf 
 A074-21,https://www.corteconstitucional.gov.co/Relatoria/autos/2021/A074-21.htm,https://www.corteconstitucional.gov.co/sentencias/autos\2021/A074-21.rtf 
 C-128-19,https://www.corteconstitucional.gov.co/Relatoria/2019/C-128-19.htm,https://www.corteconstitucional.gov.co/sentencias/2019/C-128-19.rtf 
 C-127-19,https://www.corteconstitucional.gov.co/Relatoria/2019/C-127-19.htm,https://www.corteconstitucional.gov.co/sentencias/2019/C-127-19.rtf 
 C-127-18,https://www.corteconstitucional.gov.co/Relatoria/2019/C-127-18.htm,https://www.corteconstitucional.gov.co/sentencias/2018/C-127-18.rtf 
 C-112-19,https://www.corteconstitucional.gov.co/Relatoria/2019/C-112-19.htm,https://www.corteconstitucional.gov.co/sentencias/2019/C-112-19.rtf 
 C-111-19,https://www.corteconstitucional.gov.co/Relatoria/2019/C-111-19.htm,https://www.corteconstitucional.gov.co/sentencias/2019/C-111-19.rtf 
 C-110-19,https://www.corteconstitucional.gov.co/Relatoria/2019/C-110-19.htm,https://www.corteconstitucional.gov.co/sentencias/2019/C-110-19.rtf 
 C-100-19,https://www.corteconstitucional.gov.co/Relatoria/2019/C-100-19.htm,https://www.corteconstitucional.gov.co/sentencias/2019/C-100-19.rtf 
 C-099-19,https://www.corteconstitucional.gov.co/Relatoria/2019/C-099-19.htm,https://www.corteconstitucional.gov.co/sentencias/2019/C-099-19.rtf 
 C-098-19,https://www.corteconstitucional.gov.co/Relatoria/2019/C-098-19.htm,https://www.corteconstitucional.gov.co/sentencias/2019/C-098-19.rtf 
